Title,Published Date,URL,Label
"Xiaomi will offer Mi 11 without charger, but it has a great solution on hand - Android Authority","Mon, 28 Dec 2020 08:00:00 GMT",https://news.google.com/rss/articles/CBMib0FVX3lxTE9YekI1S1FkZ1U0bzNKM1JUOGFPalU1QnhVSFVMaGM3NW9TMkZEanI4aUw5cWpCOVp6b1pxQktnN2ZybEh0RVFWZlpITE83aTlzbkotTThfTjFyNjN6c1gzRm1NYkdaaFVETzZ4OE55dw?oc=5,Pro
"""Curious"" teenager has smartphone cable removed from penis after it became knotted in his bladder - The Mirror","Thu, 05 Jul 2018 07:00:00 GMT",https://news.google.com/rss/articles/CBMilgFBVV95cUxPbHhieV81MFFURDh3eGxDelU4ZjItWVNHWV9vVnptVXZnRWxGLU1PTzFmalV5eG01azlRMGRFR2lQX0tnNktBMHRHLTlSYjJoa2x1eGZGeW1RaWZlQU5ZOEJvZE84Z0xjTk5ZM1kwOFVleG56Sjd2Q0xjZHB2MVU4SFFZTGlHSUpidDNVbVFyVGs5MEtsT3fSAZsBQVVfeXFMUF9SdDN5aVBMbU9WLVlvTm1yVjk1eGRucXRrYkFFVE9VLUE1aktCMUU5YVdRVXBPMzVLTk9DM0liTGItaUNadk9mdmVuMUZMTDZ3c0s4WHpyTmlwWGo2R05RLXJSTUFwM01qb0dYVzZwNTREOTZBOVZiR0JxbEcyZUJiU0RONjRwaHZVZUtGTmhXa1ZxemprMVlUczA?oc=5,Pro
Tesla reduces price of home chargers after removing the one included with new vehicles - Electrek.co,"Fri, 29 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMipgFBVV95cUxNbWxwYm1YY1REM25yTlNhWEVlQTVlSS1SSnNoeDAwcHVwRlcxaktkY2xfTzJEbVJSWXFwdWlZOFlXZDZUMDdNS01RYmdWT05FU29aWW9iRUF5b0pRMG50N094N2tfV0tocHVlc2NPdVVjbDRYZmpMSmc3Z3JqRFNqSWczZ3RYWmtOdmNnN0FrdXp5OGdxS3BmUl9TU3NQQ1daVEtENlZB?oc=5,Neutral
The iPhone 12 Ships Without a Charger. Will It Curb E-Waste? - WIRED,"Wed, 14 Oct 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMid0FVX3lxTE5MTXZLN1hJaTlobzZyam10Wjh0MWVCYkRHanVOZml0bEFtdll3VWI4X1NxcDNoUG9PNF9nMGpVRE9wbkJDT3RtQmljejJ0dEI3NjZCODJOQUNvYlo0N2I2Z0FZMzEzdC1lRmFrSXlhd2trSGNnQ1lR?oc=5,Neutral
Samsung starts removing free chargers from affordable phones - GadgetMatch,"Mon, 07 Mar 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMidEFVX3lxTE5VODJ1ZU9GN1VLRDBMU29xYVZDZktpMDVpVTBLdHNCenZ5T19SMjhFNFlGcTZiQXVnRXBvSEE0aXpON1RkYjdmUDVMVVhwMVctb24wamRaamhoUUYtMWVOaVhvNFBfTWhJRWotTHZuOGlqSVhM?oc=5,Pro
iPhones No Longer Come With a Charger or Headphones. Here’s What to Get If You Need Them. - The New York Times,"Tue, 12 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMigwFBVV95cUxOcDkxMy1udnRzeFdoYnlqbHZSb0RyMHQ2aklrOE5heUYxeS00WDhmSFp2aXM5WFdOaTdkY0FRZDI4NkRON09EbzFpa0piYVJzcFZIaGFVbmFKbUlad09NSGpmeDA5WDNkSEM5dWdrbjAzUGZfRHdlb05waGVtRS1hVURpUQ?oc=5,Against
"After Apple and Samsung, these smartphone brands may remove in-box chargers | Mint - Mint","Fri, 18 Nov 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMi1wFBVV95cUxOd3ZjNkw2OENLbm5QWHk3LVMya2RXWVlqVjdCN3dVT3dTQjItYzVoMVhnYkZqcDVqTF92SkRLZ3luaWx1ek9wTEoySDJKN2NaUGowWW1sRXpBNkQyQkpxcWFHOUlkcEJHSVdwSHNIX0xybkptYzFYZ3VQaUR4Sm8zd3M0VVFMeFJYMGV3RnVEUVYySC0yd2NsNThCWEY1a0JVa25QNkx0aERGbDZrUU9pTGNFT1lYSlh0aDBBcXp3WWtuQmw4QmZqWVZxQW1rVTBTNURaYUFlMNIB3AFBVV95cUxPZUllcFpFNmlIa3Q5REJybmQtcy1uUFk2YUFhbU1ONTUtWmlkVkhFdEctdjYyQlpJbEFadHZLYzNhUWdWWldvVG1iN3B5aHRqU3IwRDA1TldEdTJYbUJXclJNSHUyeXRpcmpiMlRmTnpLU0FfV3FLdXNpMF84SkM1R256eWdqVElIWUNjLVpLYXk3RVJsZ3N6cFJUUXBtU1o3ZVk0RHVzWWd3WURGWnJsZENhSWlnNGZJSXFNVmQtamNwWVJ5VmR6dnVzV3E1Mk1kLVV2RHVROVduY2xW?oc=5,Neutral
Samsung deleted a Facebook post mocking Apple for removing chargers - BGR,"Tue, 22 Dec 2020 08:00:00 GMT",https://news.google.com/rss/articles/CBMigAFBVV95cUxQc3VoU3F4LU0xR3labm9ONmIyekJITzlEQ0JNZkJEZ3g5NWY2T3lQdXJySWNadUU3TnFxUWM2dDZ2c0lKeFA5NnpMcVVJLWh0ZmZNOUR5bE5jeVhzYkRaWFJiUDByUTREdmFXWVhwVzh2eDhkZkg0cmRVS3ZrbUxzSg?oc=5,Against
Tesla sets disappointing EV precedent by removing included chargers from new vehicles - MobileSyrup,"Mon, 18 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMikwFBVV95cUxOa2JKRy0wR0ZsVkNSbTFWUDlkLVFqalpnckMzUE51M2lOSTVJci16azBpNzU5N2RLNTZRTzl6dUhKcFgxM3pCam1KNEt5VS1NcXNyWVRwRjhlMmlvYUFkV0U1WFFmZkNPM3ZBT3VJcWJlb1JSczRkSHdPN0xOUE9hTHZvOFg5YV9ucjB4VXJHbkx0S0U?oc=5,Against
OnePlus phones in some regions aren't getting in-box chargers (Update: Common Charger Directive) - Android Authority,"Wed, 26 Jun 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMiiwFBVV95cUxPZ051VDRRVFhmRGNmSnIzbl9tY3FRTVd5Ykt5TG5MNlhxM2V2U24wY2JnMDhGZnM0QVVRRGJUWXlqMGJjZXZIbXBvOEZ2cHBaelU1T0pQUGs1OU4tWHMzV0hFYzJiUy1MeTQ3NjFDVEZxbUNPd2wzQ2czRno0VDZyOWR0SW1MVTNYQkc4?oc=5,Pro
